         26182 function calls (25832 primitive calls) in 0.281 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.281    0.281 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_calculator.py:15(evaluate_expression)
        1    0.000    0.000    0.280    0.280 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:7(evaluate_ast)
        1    0.000    0.000    0.280    0.280 C:\Users\Administrator\Desktop\ltrs\src\aopl_python_impl\aop_operations.py:83(evaluate_sum_parallel)
        1    0.000    0.000    0.261    0.261 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:738(__exit__)
        1    0.000    0.000    0.238    0.238 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:654(terminate)
       17    0.000    0.000    0.155    0.009 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\util.py:208(__call__)
        1    0.000    0.000    0.154    0.154 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:680(_terminate_pool)
        1    0.000    0.000    0.143    0.143 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:671(_help_stuff_finish)
        1    0.001    0.001    0.143    0.143 {method 'acquire' of '_multiprocessing.SemLock' objects}
      3/1    0.006    0.002    0.143    0.143 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1018(_bootstrap)
      3/1    0.000    0.000    0.143    0.143 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1058(_bootstrap_inner)
      3/1    0.000    0.000    0.142    0.142 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\threading.py:1001(run)
        1    0.000    0.000    0.142    0.142 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:527(_handle_tasks)
       19    0.000    0.000    0.142    0.007 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:202(send)
       24    0.000    0.000    0.142    0.006 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:284(_send_bytes)
       24    0.000    0.000    0.142    0.006 {built-in method _winapi.WriteFile}
        1    0.000    0.000    0.141    0.141 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:573(_handle_results)
        1    0.000    0.000    0.134    0.134 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:369(starmap)
        1    0.000    0.000    0.133    0.133 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:767(get)
        1    0.000    0.000    0.133    0.133 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:764(wait)
        4    0.000    0.000    0.133    0.033 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:246(recv)
      6/4    0.000    0.000    0.132    0.033 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:310(_recv_bytes)
        5    0.000    0.000    0.132    0.026 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
        1    0.000    0.000    0.081    0.081 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.081    0.081 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\pool.py:314(_repopulate_pool_static)
       16    0.000    0.000    0.081    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\process.py:110(start)
       16    0.000    0.000    0.080    0.005 C:\Users\Administrator\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\context.py:334(_Popen)
